V_b_r;xKOD;xROK;KOD;ROK;POHL;VEKKAT;KRAJ;HOSP
;;X;A101;2007;1;15-34;10;36
;;X;A101;2007;1;15-34;20;53
;;X;A101;2007;1;15-34;31;42
;;X;A101;2007;1;15-34;32;42
;;X;A101;2007;1;15-34;41;37
;;X;A101;2007;1;15-34;42;61
;;X;A101;2007;1;15-34;51;30
;;X;A101;2007;1;15-34;52;28
;;X;A101;2007;1;15-34;53;31
;;X;A101;2007;1;15-34;63;61
;;X;A101;2007;1;15-34;64;50
;;X;A101;2007;1;15-34;71;27
;;X;A101;2007;1;15-34;72;43
;;X;A101;2007;1;15-34;80;160
;;X;A101;2007;1;35-44;10;5
;;X;A101;2007;1;35-44;20;15
;;X;A101;2007;1;35-44;31;17
;;X;A101;2007;1;35-44;32;9
;;X;A101;2007;1;35-44;41;10
;;X;A101;2007;1;35-44;42;19
;;X;A101;2007;1;35-44;51;7
;;X;A101;2007;1;35-44;52;5
;;X;A101;2007;1;35-44;53;5
;;X;A101;2007;1;35-44;63;12
;;X;A101;2007;1;35-44;64;10
;;X;A101;2007;1;35-44;71;4
;;X;A101;2007;1;35-44;72;11
;;X;A101;2007;1;35-44;80;42
;;X;A101;2007;1;45-54;10;7
;;X;A101;2007;1;45-54;20;16
;;X;A101;2007;1;45-54;31;13
;;X;A101;2007;1;45-54;32;14
;;X;A101;2007;1;45-54;41;8
;;X;A101;2007;1;45-54;42;14
;;X;A101;2007;1;45-54;51;4
;;X;A101;2007;1;45-54;52;8
;;X;A101;2007;1;45-54;53;5
;;X;A101;2007;1;45-54;63;11
;;X;A101;2007;1;45-54;64;9
;;X;A101;2007;1;45-54;71;3
;;X;A101;2007;1;45-54;72;13
;;X;A101;2007;1;45-54;80;24
;;X;A101;2007;1;55-64;10;15
;;X;A101;2007;1;55-64;20;17
;;X;A101;2007;1;55-64;31;21
;;X;A101;2007;1;55-64;32;12
;;X;A101;2007;1;55-64;41;10
;;X;A101;2007;1;55-64;42;17
;;X;A101;2007;1;55-64;51;10
;;X;A101;2007;1;55-64;52;9
;;X;A101;2007;1;55-64;53;13
;;X;A101;2007;1;55-64;63;11
;;X;A101;2007;1;55-64;64;12
;;X;A101;2007;1;55-64;71;7
;;X;A101;2007;1;55-64;72;9
;;X;A101;2007;1;55-64;80;43
;;X;A101;2007;1;65-74;10;14
;;X;A101;2007;1;65-74;20;23
;;X;A101;2007;1;65-74;31;22
;;X;A101;2007;1;65-74;32;18
;;X;A101;2007;1;65-74;41;5
;;X;A101;2007;1;65-74;42;13
;;X;A101;2007;1;65-74;51;6
;;X;A101;2007;1;65-74;52;8
;;X;A101;2007;1;65-74;53;6
;;X;A101;2007;1;65-74;63;19
;;X;A101;2007;1;65-74;64;17
;;X;A101;2007;1;65-74;71;9
;;X;A101;2007;1;65-74;72;13
;;X;A101;2007;1;65-74;80;37
;;X;A101;2007;1;75+;10;22
;;X;A101;2007;1;75+;20;20
;;X;A101;2007;1;75+;31;15
;;X;A101;2007;1;75+;32;14
;;X;A101;2007;1;75+;41;16
;;X;A101;2007;1;75+;42;29
;;X;A101;2007;1;75+;51;10
;;X;A101;2007;1;75+;52;16
;;X;A101;2007;1;75+;53;12
;;X;A101;2007;1;75+;63;34
;;X;A101;2007;1;75+;64;13
;;X;A101;2007;1;75+;71;14
;;X;A101;2007;1;75+;72;17
;;X;A101;2007;1;75+;80;34
;;X;A101;2007;2;15-34;10;40
;;X;A101;2007;2;15-34;20;64
;;X;A101;2007;2;15-34;31;68
;;X;A101;2007;2;15-34;32;40
;;X;A101;2007;2;15-34;41;40
;;X;A101;2007;2;15-34;42;74
;;X;A101;2007;2;15-34;51;29
;;X;A101;2007;2;15-34;52;40
;;X;A101;2007;2;15-34;53;35
;;X;A101;2007;2;15-34;63;58
;;X;A101;2007;2;15-34;64;67
;;X;A101;2007;2;15-34;71;37
;;X;A101;2007;2;15-34;72;75
;;X;A101;2007;2;15-34;80;201
;;X;A101;2007;2;35-44;10;16
;;X;A101;2007;2;35-44;20;14
;;X;A101;2007;2;35-44;31;6
;;X;A101;2007;2;35-44;32;16
;;X;A101;2007;2;35-44;41;10
;;X;A101;2007;2;35-44;42;19
;;X;A101;2007;2;35-44;51;5
;;X;A101;2007;2;35-44;52;9
;;X;A101;2007;2;35-44;53;11
;;X;A101;2007;2;35-44;63;20
;;X;A101;2007;2;35-44;64;19
;;X;A101;2007;2;35-44;71;7
;;X;A101;2007;2;35-44;72;16
;;X;A101;2007;2;35-44;80;49
;;X;A101;2007;2;45-54;10;10
;;X;A101;2007;2;45-54;20;17
;;X;A101;2007;2;45-54;31;14
;;X;A101;2007;2;45-54;32;15
;;X;A101;2007;2;45-54;41;9
;;X;A101;2007;2;45-54;42;15
;;X;A101;2007;2;45-54;51;6
;;X;A101;2007;2;45-54;52;11
;;X;A101;2007;2;45-54;53;8
;;X;A101;2007;2;45-54;63;13
;;X;A101;2007;2;45-54;64;12
;;X;A101;2007;2;45-54;71;7
;;X;A101;2007;2;45-54;72;17
;;X;A101;2007;2;45-54;80;43
;;X;A101;2007;2;55-64;10;17
;;X;A101;2007;2;55-64;20;16
;;X;A101;2007;2;55-64;31;25
;;X;A101;2007;2;55-64;32;14
;;X;A101;2007;2;55-64;41;17
;;X;A101;2007;2;55-64;42;33
;;X;A101;2007;2;55-64;51;20
;;X;A101;2007;2;55-64;52;15
;;X;A101;2007;2;55-64;53;10
;;X;A101;2007;2;55-64;63;22
;;X;A101;2007;2;55-64;64;19
;;X;A101;2007;2;55-64;71;11
;;X;A101;2007;2;55-64;72;17
;;X;A101;2007;2;55-64;80;58
;;X;A101;2007;2;65-74;10;23
;;X;A101;2007;2;65-74;20;24
;;X;A101;2007;2;65-74;31;21
;;X;A101;2007;2;65-74;32;19
;;X;A101;2007;2;65-74;41;29
;;X;A101;2007;2;65-74;42;34
;;X;A101;2007;2;65-74;51;13
;;X;A101;2007;2;65-74;52;22
;;X;A101;2007;2;65-74;53;19
;;X;A101;2007;2;65-74;63;31
;;X;A101;2007;2;65-74;64;25
;;X;A101;2007;2;65-74;71;10
;;X;A101;2007;2;65-74;72;16
;;X;A101;2007;2;65-74;80;43
;;X;A101;2007;2;75+;10;43
;;X;A101;2007;2;75+;20;34
;;X;A101;2007;2;75+;31;50
;;X;A101;2007;2;75+;32;27
;;X;A101;2007;2;75+;41;27
;;X;A101;2007;2;75+;42;45
;;X;A101;2007;2;75+;51;18
;;X;A101;2007;2;75+;52;34
;;X;A101;2007;2;75+;53;43
;;X;A101;2007;2;75+;63;67
;;X;A101;2007;2;75+;64;41
;;X;A101;2007;2;75+;71;28
;;X;A101;2007;2;75+;72;41
;;X;A101;2007;2;75+;80;91
;;X;A101;2008;1;15-34;10;16
;;X;A101;2008;1;15-34;20;22
;;X;A101;2008;1;15-34;31;40
;;X;A101;2008;1;15-34;32;31
;;X;A101;2008;1;15-34;41;21
;;X;A101;2008;1;15-34;42;33
;;X;A101;2008;1;15-34;51;25
;;X;A101;2008;1;15-34;52;27
;;X;A101;2008;1;15-34;53;21
;;X;A101;2008;1;15-34;63;47
;;X;A101;2008;1;15-34;64;41
;;X;A101;2008;1;15-34;71;17
;;X;A101;2008;1;15-34;72;47
;;X;A101;2008;1;15-34;80;53
;;X;A101;2008;1;35-44;10;9
;;X;A101;2008;1;35-44;20;8
;;X;A101;2008;1;35-44;31;11
;;X;A101;2008;1;35-44;32;10
;;X;A101;2008;1;35-44;41;6
;;X;A101;2008;1;35-44;42;6
;;X;A101;2008;1;35-44;51;8
;;X;A101;2008;1;35-44;52;3
;;X;A101;2008;1;35-44;53;2
;;X;A101;2008;1;35-44;63;6
;;X;A101;2008;1;35-44;64;14
;;X;A101;2008;1;35-44;71;3
;;X;A101;2008;1;35-44;72;5
;;X;A101;2008;1;35-44;80;21
;;X;A101;2008;1;45-54;10;1
;;X;A101;2008;1;45-54;20;3
;;X;A101;2008;1;45-54;31;8
;;X;A101;2008;1;45-54;32;7
;;X;A101;2008;1;45-54;41;6
;;X;A101;2008;1;45-54;42;12
;;X;A101;2008;1;45-54;51;5
;;X;A101;2008;1;45-54;52;1
;;X;A101;2008;1;45-54;53;5
;;X;A101;2008;1;45-54;63;11
;;X;A101;2008;1;45-54;64;13
;;X;A101;2008;1;45-54;71;10
;;X;A101;2008;1;45-54;72;9
;;X;A101;2008;1;45-54;80;17
;;X;A101;2008;1;55-64;10;6
;;X;A101;2008;1;55-64;20;12
;;X;A101;2008;1;55-64;31;10
;;X;A101;2008;1;55-64;32;8
;;X;A101;2008;1;55-64;41;8
;;X;A101;2008;1;55-64;42;14
;;X;A101;2008;1;55-64;51;7
;;X;A101;2008;1;55-64;52;13
;;X;A101;2008;1;55-64;53;6
;;X;A101;2008;1;55-64;63;15
;;X;A101;2008;1;55-64;64;15
;;X;A101;2008;1;55-64;71;7
;;X;A101;2008;1;55-64;72;13
;;X;A101;2008;1;55-64;80;18
;;X;A101;2008;1;65-74;10;6
;;X;A101;2008;1;65-74;20;6
;;X;A101;2008;1;65-74;31;14
;;X;A101;2008;1;65-74;32;9
;;X;A101;2008;1;65-74;41;8
;;X;A101;2008;1;65-74;42;12
;;X;A101;2008;1;65-74;51;7
;;X;A101;2008;1;65-74;52;8
;;X;A101;2008;1;65-74;53;12
;;X;A101;2008;1;65-74;63;14
;;X;A101;2008;1;65-74;64;13
;;X;A101;2008;1;65-74;71;5
;;X;A101;2008;1;65-74;72;5
;;X;A101;2008;1;65-74;80;27
;;X;A101;2008;1;75+;10;11
;;X;A101;2008;1;75+;20;16
;;X;A101;2008;1;75+;31;13
;;X;A101;2008;1;75+;32;20
;;X;A101;2008;1;75+;41;10
;;X;A101;2008;1;75+;42;14
;;X;A101;2008;1;75+;51;6
;;X;A101;2008;1;75+;52;13
;;X;A101;2008;1;75+;53;8
;;X;A101;2008;1;75+;63;23
;;X;A101;2008;1;75+;64;33
;;X;A101;2008;1;75+;71;6
;;X;A101;2008;1;75+;72;12
;;X;A101;2008;1;75+;80;20
;;X;A101;2008;2;15-34;10;28
;;X;A101;2008;2;15-34;20;37
;;X;A101;2008;2;15-34;31;45
;;X;A101;2008;2;15-34;32;49
;;X;A101;2008;2;15-34;41;37
;;X;A101;2008;2;15-34;42;41
;;X;A101;2008;2;15-34;51;30
;;X;A101;2008;2;15-34;52;28
;;X;A101;2008;2;15-34;53;26
;;X;A101;2008;2;15-34;63;50
;;X;A101;2008;2;15-34;64;69
;;X;A101;2008;2;15-34;71;41
;;X;A101;2008;2;15-34;72;62
;;X;A101;2008;2;15-34;80;106
;;X;A101;2008;2;35-44;10;7
;;X;A101;2008;2;35-44;20;9
;;X;A101;2008;2;35-44;31;6
;;X;A101;2008;2;35-44;32;18
;;X;A101;2008;2;35-44;41;3
;;X;A101;2008;2;35-44;42;17
;;X;A101;2008;2;35-44;51;5
;;X;A101;2008;2;35-44;52;15
;;X;A101;2008;2;35-44;53;5
;;X;A101;2008;2;35-44;63;17
;;X;A101;2008;2;35-44;64;13
;;X;A101;2008;2;35-44;71;9
;;X;A101;2008;2;35-44;72;13
;;X;A101;2008;2;35-44;80;16
;;X;A101;2008;2;45-54;10;10
;;X;A101;2008;2;45-54;20;10
;;X;A101;2008;2;45-54;31;10
;;X;A101;2008;2;45-54;32;12
;;X;A101;2008;2;45-54;41;7
;;X;A101;2008;2;45-54;42;19
;;X;A101;2008;2;45-54;51;8
;;X;A101;2008;2;45-54;52;4
;;X;A101;2008;2;45-54;53;5
;;X;A101;2008;2;45-54;63;21
;;X;A101;2008;2;45-54;64;20
;;X;A101;2008;2;45-54;71;6
;;X;A101;2008;2;45-54;72;14
;;X;A101;2008;2;45-54;80;11
;;X;A101;2008;2;55-64;10;16
;;X;A101;2008;2;55-64;20;16
;;X;A101;2008;2;55-64;31;12
;;X;A101;2008;2;55-64;32;17
;;X;A101;2008;2;55-64;41;5
;;X;A101;2008;2;55-64;42;23
;;X;A101;2008;2;55-64;51;14
;;X;A101;2008;2;55-64;52;12
;;X;A101;2008;2;55-64;53;8
;;X;A101;2008;2;55-64;63;15
;;X;A101;2008;2;55-64;64;20
;;X;A101;2008;2;55-64;71;11
;;X;A101;2008;2;55-64;72;20
;;X;A101;2008;2;55-64;80;26
;;X;A101;2008;2;65-74;10;15
;;X;A101;2008;2;65-74;20;19
;;X;A101;2008;2;65-74;31;26
;;X;A101;2008;2;65-74;32;33
;;X;A101;2008;2;65-74;41;15
;;X;A101;2008;2;65-74;42;22
;;X;A101;2008;2;65-74;51;12
;;X;A101;2008;2;65-74;52;14
;;X;A101;2008;2;65-74;53;4
;;X;A101;2008;2;65-74;63;31
;;X;A101;2008;2;65-74;64;44
;;X;A101;2008;2;65-74;71;8
;;X;A101;2008;2;65-74;72;21
;;X;A101;2008;2;65-74;80;28
;;X;A101;2008;2;75+;10;24
;;X;A101;2008;2;75+;20;28
;;X;A101;2008;2;75+;31;35
;;X;A101;2008;2;75+;32;22
;;X;A101;2008;2;75+;41;29
;;X;A101;2008;2;75+;42;28
;;X;A101;2008;2;75+;51;25
;;X;A101;2008;2;75+;52;23
;;X;A101;2008;2;75+;53;9
;;X;A101;2008;2;75+;63;72
;;X;A101;2008;2;75+;64;56
;;X;A101;2008;2;75+;71;29
;;X;A101;2008;2;75+;72;32
;;X;A101;2008;2;75+;80;56
;;X;A101;2009;1;15-34;10;12
;;X;A101;2009;1;15-34;20;42
;;X;A101;2009;1;15-34;31;26
;;X;A101;2009;1;15-34;32;48
;;X;A101;2009;1;15-34;41;33
;;X;A101;2009;1;15-34;42;39
;;X;A101;2009;1;15-34;51;9
;;X;A101;2009;1;15-34;52;33
;;X;A101;2009;1;15-34;53;16
;;X;A101;2009;1;15-34;63;39
;;X;A101;2009;1;15-34;64;38
;;X;A101;2009;1;15-34;71;17
;;X;A101;2009;1;15-34;72;58
;;X;A101;2009;1;15-34;80;39
;;X;A101;2009;1;35-44;10;4
;;X;A101;2009;1;35-44;20;8
;;X;A101;2009;1;35-44;31;8
;;X;A101;2009;1;35-44;32;17
;;X;A101;2009;1;35-44;41;8
;;X;A101;2009;1;35-44;42;8
;;X;A101;2009;1;35-44;51;2
;;X;A101;2009;1;35-44;52;3
;;X;A101;2009;1;35-44;53;3
;;X;A101;2009;1;35-44;63;12
;;X;A101;2009;1;35-44;64;8
;;X;A101;2009;1;35-44;71;3
;;X;A101;2009;1;35-44;72;11
;;X;A101;2009;1;35-44;80;7
;;X;A101;2009;1;45-54;10;5
;;X;A101;2009;1;45-54;20;6
;;X;A101;2009;1;45-54;31;5
;;X;A101;2009;1;45-54;32;17
;;X;A101;2009;1;45-54;41;7
;;X;A101;2009;1;45-54;42;11
;;X;A101;2009;1;45-54;51;2
;;X;A101;2009;1;45-54;52;2
;;X;A101;2009;1;45-54;53;3
;;X;A101;2009;1;45-54;63;17
;;X;A101;2009;1;45-54;64;8
;;X;A101;2009;1;45-54;71;5
;;X;A101;2009;1;45-54;72;9
;;X;A101;2009;1;45-54;80;6
;;X;A101;2009;1;55-64;10;11
;;X;A101;2009;1;55-64;20;7
;;X;A101;2009;1;55-64;31;10
;;X;A101;2009;1;55-64;32;21
