KOD;ROK;POHL;VEKKAT;KRAJ;HOSP
A101;2007;1;15-34;10;36
A101;2007;1;15-34;20;53
A101;2007;1;15-34;31;42
A101;2007;1;15-34;32;42
A101;2007;1;15-34;41;37
A101;2007;1;15-34;42;61
A101;2007;1;15-34;51;30
A101;2007;1;15-34;52;28
A101;2007;1;15-34;53;31
A101;2007;1;15-34;63;61
A101;2007;1;15-34;64;50
A101;2007;1;15-34;71;27
A101;2007;1;15-34;72;43
A101;2007;1;15-34;80;160
A101;2007;1;35-44;10;5
A101;2007;1;35-44;20;15
A101;2007;1;35-44;31;17
A101;2007;1;35-44;32;9
A101;2007;1;35-44;41;10
A101;2007;1;35-44;42;19
A101;2007;1;35-44;51;7
A101;2007;1;35-44;52;5
A101;2007;1;35-44;53;5
A101;2007;1;35-44;63;12
A101;2007;1;35-44;64;10
A101;2007;1;35-44;71;4
A101;2007;1;35-44;72;11
A101;2007;1;35-44;80;42
A101;2007;1;45-54;10;7
A101;2007;1;45-54;20;16
A101;2007;1;45-54;31;13
A101;2007;1;45-54;32;14
A101;2007;1;45-54;41;8
A101;2007;1;45-54;42;14
A101;2007;1;45-54;51;4
A101;2007;1;45-54;52;8
A101;2007;1;45-54;53;5
A101;2007;1;45-54;63;11
A101;2007;1;45-54;64;9
A101;2007;1;45-54;71;3
A101;2007;1;45-54;72;13
A101;2007;1;45-54;80;24
A101;2007;1;55-64;10;15
A101;2007;1;55-64;20;17
A101;2007;1;55-64;31;21
A101;2007;1;55-64;32;12
A101;2007;1;55-64;41;10
A101;2007;1;55-64;42;17
A101;2007;1;55-64;51;10
A101;2007;1;55-64;52;9
A101;2007;1;55-64;53;13
A101;2007;1;55-64;63;11
A101;2007;1;55-64;64;12
A101;2007;1;55-64;71;7
A101;2007;1;55-64;72;9
A101;2007;1;55-64;80;43
A101;2007;1;65-74;10;14
A101;2007;1;65-74;20;23
A101;2007;1;65-74;31;22
A101;2007;1;65-74;32;18
A101;2007;1;65-74;41;5
A101;2007;1;65-74;42;13
A101;2007;1;65-74;51;6
A101;2007;1;65-74;52;8
A101;2007;1;65-74;53;6
A101;2007;1;65-74;63;19
A101;2007;1;65-74;64;17
A101;2007;1;65-74;71;9
A101;2007;1;65-74;72;13
A101;2007;1;65-74;80;37
A101;2007;1;75+;10;22
A101;2007;1;75+;20;20
A101;2007;1;75+;31;15
A101;2007;1;75+;32;14
A101;2007;1;75+;41;16
A101;2007;1;75+;42;29
A101;2007;1;75+;51;10
A101;2007;1;75+;52;16
A101;2007;1;75+;53;12
A101;2007;1;75+;63;34
A101;2007;1;75+;64;13
A101;2007;1;75+;71;14
A101;2007;1;75+;72;17
A101;2007;1;75+;80;34
A101;2007;2;15-34;10;40
A101;2007;2;15-34;20;64
A101;2007;2;15-34;31;68
A101;2007;2;15-34;32;40
A101;2007;2;15-34;41;40
A101;2007;2;15-34;42;74
A101;2007;2;15-34;51;29
A101;2007;2;15-34;52;40
A101;2007;2;15-34;53;35
A101;2007;2;15-34;63;58
A101;2007;2;15-34;64;67
A101;2007;2;15-34;71;37
A101;2007;2;15-34;72;75
A101;2007;2;15-34;80;201
A101;2007;2;35-44;10;16
A101;2007;2;35-44;20;14
A101;2007;2;35-44;31;6
A101;2007;2;35-44;32;16
A101;2007;2;35-44;41;10
A101;2007;2;35-44;42;19
A101;2007;2;35-44;51;5
A101;2007;2;35-44;52;9
A101;2007;2;35-44;53;11
A101;2007;2;35-44;63;20
A101;2007;2;35-44;64;19
A101;2007;2;35-44;71;7
A101;2007;2;35-44;72;16
A101;2007;2;35-44;80;49
A101;2007;2;45-54;10;10
A101;2007;2;45-54;20;17
A101;2007;2;45-54;31;14
A101;2007;2;45-54;32;15
A101;2007;2;45-54;41;9
A101;2007;2;45-54;42;15
A101;2007;2;45-54;51;6
A101;2007;2;45-54;52;11
A101;2007;2;45-54;53;8
A101;2007;2;45-54;63;13
A101;2007;2;45-54;64;12
A101;2007;2;45-54;71;7
A101;2007;2;45-54;72;17
A101;2007;2;45-54;80;43
A101;2007;2;55-64;10;17
A101;2007;2;55-64;20;16
A101;2007;2;55-64;31;25
