VYBER;xKOD;xROK;KOD;ROK;KRAJ;KRAJ_POSKYTOVATEL;HOSP
;;X;A101;2007;10;10;214
;;X;A101;2007;10;20;6
;;X;A101;2007;10;31;9
;;X;A101;2007;10;32;1
;;X;A101;2007;10;42;5
;;X;A101;2007;10;51;2
;;X;A101;2007;10;53;2
;;X;A101;2007;10;63;7
;;X;A101;2007;10;72;1
;;X;A101;2007;10;80;1
;;X;A101;2007;20;10;49
;;X;A101;2007;20;20;236
;;X;A101;2007;20;31;12
;;X;A101;2007;20;32;3
;;X;A101;2007;20;41;2
;;X;A101;2007;20;51;2
;;X;A101;2007;20;52;1
;;X;A101;2007;20;53;2
;;X;A101;2007;20;63;6
;;X;A101;2007;31;20;1
;;X;A101;2007;31;31;309
;;X;A101;2007;31;32;1
;;X;A101;2007;31;53;1
;;X;A101;2007;31;64;2
;;X;A101;2007;32;10;4
;;X;A101;2007;32;20;1
;;X;A101;2007;32;31;4
;;X;A101;2007;32;32;224
;;X;A101;2007;32;41;5
;;X;A101;2007;32;42;1
;;X;A101;2007;32;51;1
;;X;A101;2007;41;10;3
;;X;A101;2007;41;31;2
;;X;A101;2007;41;32;3
;;X;A101;2007;41;41;209
;;X;A101;2007;41;42;1
;;X;A101;2007;42;10;3
;;X;A101;2007;42;20;2
;;X;A101;2007;42;31;4
;;X;A101;2007;42;32;3
;;X;A101;2007;42;42;360
;;X;A101;2007;42;51;1
;;X;A101;2007;51;10;13
;;X;A101;2007;51;20;2
;;X;A101;2007;51;32;1
;;X;A101;2007;51;42;6
;;X;A101;2007;51;51;134
;;X;A101;2007;51;52;2
;;X;A101;2007;52;10;1
;;X;A101;2007;52;31;1
;;X;A101;2007;52;41;1
;;X;A101;2007;52;51;3
;;X;A101;2007;52;52;198
;;X;A101;2007;52;71;1
;;X;A101;2007;53;20;3
;;X;A101;2007;53;31;1
;;X;A101;2007;53;52;3
;;X;A101;2007;53;53;167
;;X;A101;2007;53;63;12
;;X;A101;2007;53;64;4
;;X;A101;2007;53;71;4
;;X;A101;2007;53;72;1
;;X;A101;2007;53;80;3
;;X;A101;2007;63;20;1
;;X;A101;2007;63;31;3
;;X;A101;2007;63;41;1
;;X;A101;2007;63;52;1
;;X;A101;2007;63;53;1
;;X;A101;2007;63;63;345
;;X;A101;2007;63;64;5
;;X;A101;2007;63;72;1
;;X;A101;2007;63;80;1
;;X;A101;2007;64;31;1
;;X;A101;2007;64;51;1
;;X;A101;2007;64;52;1
;;X;A101;2007;64;63;5
;;X;A101;2007;64;64;276
;;X;A101;2007;64;71;1
;;X;A101;2007;64;72;8
;;X;A101;2007;64;80;1
;;X;A101;2007;71;10;2
;;X;A101;2007;71;20;1
;;X;A101;2007;71;32;1
;;X;A101;2007;71;42;1
;;X;A101;2007;71;63;1
;;X;A101;2007;71;64;4
;;X;A101;2007;71;71;131
;;X;A101;2007;71;72;2
;;X;A101;2007;71;80;21
;;X;A101;2007;72;10;2
;;X;A101;2007;72;31;1
;;X;A101;2007;72;53;1
;;X;A101;2007;72;64;4
;;X;A101;2007;72;71;4
;;X;A101;2007;72;72;272
;;X;A101;2007;72;80;4
;;X;A101;2007;80;10;3
;;X;A101;2007;80;20;1
;;X;A101;2007;80;31;3
;;X;A101;2007;80;63;2
;;X;A101;2007;80;64;3
;;X;A101;2007;80;71;7
;;X;A101;2007;80;72;2
;;X;A101;2007;80;80;804
;;X;A101;2008;10;10;117
;;X;A101;2008;10;20;6
;;X;A101;2008;10;31;10
;;X;A101;2008;10;32;1
;;X;A101;2008;10;41;4
;;X;A101;2008;10;42;2
;;X;A101;2008;10;51;2
;;X;A101;2008;10;53;1
;;X;A101;2008;10;63;2
;;X;A101;2008;10;64;3
;;X;A101;2008;10;80;1
;;X;A101;2008;20;10;14
;;X;A101;2008;20;20;158
;;X;A101;2008;20;31;6
;;X;A101;2008;20;32;2
;;X;A101;2008;20;41;2
;;X;A101;2008;20;42;2
;;X;A101;2008;20;63;2
;;X;A101;2008;31;10;1
;;X;A101;2008;31;20;1
;;X;A101;2008;31;31;222
;;X;A101;2008;31;32;1
;;X;A101;2008;31;63;3
;;X;A101;2008;31;64;1
;;X;A101;2008;31;72;1
;;X;A101;2008;32;31;2
;;X;A101;2008;32;32;231
;;X;A101;2008;32;41;1
;;X;A101;2008;32;64;2
;;X;A101;2008;41;10;1
;;X;A101;2008;41;20;1
;;X;A101;2008;41;31;2
;;X;A101;2008;41;32;6
;;X;A101;2008;41;41;139
;;X;A101;2008;41;63;3
;;X;A101;2008;41;64;1
;;X;A101;2008;41;71;1
;;X;A101;2008;41;72;1
;;X;A101;2008;42;10;1
;;X;A101;2008;42;32;4
;;X;A101;2008;42;41;1
;;X;A101;2008;42;42;231
;;X;A101;2008;42;53;1
;;X;A101;2008;42;64;1
;;X;A101;2008;42;72;1
;;X;A101;2008;42;80;1
;;X;A101;2008;51;10;17
;;X;A101;2008;51;20;2
;;X;A101;2008;51;42;4
;;X;A101;2008;51;51;126
;;X;A101;2008;51;52;3
;;X;A101;2008;52;51;2
;;X;A101;2008;52;52;151
;;X;A101;2008;52;53;4
;;X;A101;2008;52;64;2
;;X;A101;2008;52;71;1
;;X;A101;2008;52;80;1
;;X;A101;2008;53;32;1
;;X;A101;2008;53;52;2
;;X;A101;2008;53;53;100
;;X;A101;2008;53;63;3
;;X;A101;2008;53;64;5
;;X;A101;2008;63;31;2
;;X;A101;2008;63;52;2
;;X;A101;2008;63;63;314
;;X;A101;2008;63;64;2
;;X;A101;2008;63;71;2
;;X;A101;2008;64;10;1
;;X;A101;2008;64;53;1
;;X;A101;2008;64;63;7
;;X;A101;2008;64;64;326
;;X;A101;2008;64;71;1
;;X;A101;2008;64;72;14
;;X;A101;2008;64;80;1
;;X;A101;2008;71;10;2
;;X;A101;2008;71;71;124
;;X;A101;2008;71;72;3
;;X;A101;2008;71;80;23
;;X;A101;2008;72;41;1
;;X;A101;2008;72;64;6
;;X;A101;2008;72;71;4
;;X;A101;2008;72;72;240
;;X;A101;2008;72;80;2
;;X;A101;2008;80;10;5
;;X;A101;2008;80;20;1
;;X;A101;2008;80;31;2
;;X;A101;2008;80;32;1
;;X;A101;2008;80;41;2
;;X;A101;2008;80;42;1
;;X;A101;2008;80;64;3
;;X;A101;2008;80;71;11
;;X;A101;2008;80;72;5
;;X;A101;2008;80;80;368
;;X;A101;2009;10;10;94
;;X;A101;2009;10;20;5
;;X;A101;2009;10;31;5
;;X;A101;2009;10;32;2
;;X;A101;2009;10;41;1
;;X;A101;2009;10;51;1
;;X;A101;2009;10;63;4
;;X;A101;2009;10;64;3
;;X;A101;2009;20;10;26
;;X;A101;2009;20;20;167
;;X;A101;2009;20;31;2
;;X;A101;2009;20;32;1
;;X;A101;2009;20;41;1
;;X;A101;2009;20;52;3
;;X;A101;2009;20;63;7
;;X;A101;2009;31;10;1
;;X;A101;2009;31;20;1
;;X;A101;2009;31;31;191
;;X;A101;2009;31;32;4
;;X;A101;2009;31;41;1
;;X;A101;2009;31;63;1
;;X;A101;2009;31;71;1
;;X;A101;2009;32;31;1
;;X;A101;2009;32;32;360
;;X;A101;2009;32;41;2
;;X;A101;2009;32;51;1
;;X;A101;2009;32;64;1
;;X;A101;2009;32;72;1
;;X;A101;2009;41;20;1
;;X;A101;2009;41;31;1
;;X;A101;2009;41;32;6
;;X;A101;2009;41;41;136
;;X;A101;2009;41;63;1
;;X;A101;2009;41;64;1
;;X;A101;2009;42;10;1
;;X;A101;2009;42;20;1
;;X;A101;2009;42;32;6
;;X;A101;2009;42;41;1
;;X;A101;2009;42;42;217
;;X;A101;2009;42;51;3
;;X;A101;2009;42;52;4
;;X;A101;2009;42;63;1
;;X;A101;2009;42;64;1
;;X;A101;2009;51;10;6
;;X;A101;2009;51;20;2
;;X;A101;2009;51;32;1
