xROK;ROK;POHL;VEKKAT;KRAJ;OBYV
X;2007;1;15-34;10;184743
X;2007;1;35-44;10;84302
X;2007;1;45-54;10;76492
X;2007;1;55-64;10;83039
X;2007;1;65-74;10;41192
X;2007;1;75+;10;32400
X;2007;2;15-34;10;175191
X;2007;2;35-44;10;82943
X;2007;2;45-54;10;81800
X;2007;2;55-64;10;95968
X;2007;2;65-74;10;53752
X;2007;2;75+;10;59794
X;2007;1;15-34;20;179796
X;2007;1;35-44;20;85344
X;2007;1;45-54;20;80092
X;2007;1;55-64;20;81364
X;2007;1;65-74;20;40490
X;2007;1;75+;20;26203
X;2007;2;15-34;20;172655
X;2007;2;35-44;20;80511
X;2007;2;45-54;20;78591
X;2007;2;55-64;20;85029
X;2007;2;65-74;20;51968
X;2007;2;75+;20;49077
X;2007;1;15-34;31;95602
X;2007;1;35-44;31;44284
X;2007;1;45-54;31;45078
X;2007;1;55-64;31;42414
X;2007;1;65-74;31;22330
X;2007;1;75+;31;14169
X;2007;2;15-34;31;91354
X;2007;2;35-44;31;42482
X;2007;2;45-54;31;43612
X;2007;2;55-64;31;44069
X;2007;2;65-74;31;28500
X;2007;2;75+;31;25769
X;2007;1;15-34;32;83483
X;2007;1;35-44;32;39076
X;2007;1;45-54;32;38686
X;2007;1;55-64;32;38586
X;2007;1;65-74;32;20959
X;2007;1;75+;32;13017
X;2007;2;15-34;32;79723
X;2007;2;35-44;32;36924
X;2007;2;45-54;32;38626
X;2007;2;55-64;32;40458
X;2007;2;65-74;32;25901
X;2007;2;75+;32;23500
X;2007;1;15-34;41;46768
X;2007;1;35-44;41;22108
X;2007;1;45-54;41;21265
X;2007;1;55-64;41;20247
X;2007;1;65-74;41;10503
X;2007;1;75+;41;5612
X;2007;2;15-34;41;45289
X;2007;2;35-44;41;21140
X;2007;2;45-54;41;21103
X;2007;2;55-64;41;22014
X;2007;2;65-74;41;13681
X;2007;2;75+;41;10707
X;2007;1;15-34;42;127528
X;2007;1;35-44;42;59111
X;2007;1;45-54;42;54943
X;2007;1;55-64;42;57292
X;2007;1;65-74;42;27111
X;2007;1;75+;42;14361
X;2007;2;15-34;42;120612
X;2007;2;35-44;42;56458
X;2007;2;45-54;42;54685
X;2007;2;55-64;42;61288
X;2007;2;65-74;42;34991
X;2007;2;75+;42;30154
X;2007;1;15-34;51;66546
X;2007;1;35-44;51;30101
X;2007;1;45-54;51;28229
X;2007;1;55-64;51;30328
X;2007;1;65-74;51;13881
X;2007;1;75+;51;8791
X;2007;2;15-34;51;63683
X;2007;2;35-44;51;29361
X;2007;2;45-54;51;28632
X;2007;2;55-64;51;32569
X;2007;2;65-74;51;18085
X;2007;2;75+;51;17355
X;2007;1;15-34;52;82708
X;2007;1;35-44;52;37866
X;2007;1;45-54;52;36805
X;2007;1;55-64;52;37541
X;2007;1;65-74;52;19802
X;2007;1;75+;52;13505
X;2007;2;15-34;52;77936
X;2007;2;35-44;52;36387
X;2007;2;45-54;52;37094
X;2007;2;55-64;52;41213
X;2007;2;65-74;52;25383
X;2007;2;75+;52;24744
X;2007;1;15-34;53;78270
X;2007;1;35-44;53;34667
X;2007;1;45-54;53;34690
X;2007;1;55-64;53;33401
X;2007;1;65-74;53;17955
X;2007;1;75+;53;11928
X;2007;2;15-34;53;73562
X;2007;2;35-44;53;33480
X;2007;2;45-54;53;34452
X;2007;2;55-64;53;35686
X;2007;2;65-74;53;23550
X;2007;2;75+;53;21670
X;2007;1;15-34;63;79586
X;2007;1;35-44;63;36225
X;2007;1;45-54;63;35878
X;2007;1;55-64;63;32428
X;2007;1;65-74;63;18528
X;2007;1;75+;63;11886
X;2007;2;15-34;63;74216
X;2007;2;35-44;63;34042
X;2007;2;45-54;63;34005
X;2007;2;55-64;63;34123
X;2007;2;65-74;63;23784
X;2007;2;75+;63;21432
X;2007;1;15-34;64;173440
X;2007;1;35-44;64;80206
X;2007;1;45-54;64;77098
X;2007;1;55-64;64;73394
X;2007;1;65-74;64;40159
X;2007;1;75+;64;26243
X;2007;2;15-34;64;165568
X;2007;2;35-44;64;75989
X;2007;2;45-54;64;77399
X;2007;2;55-64;64;81286
X;2007;2;65-74;64;53016
X;2007;2;75+;64;52102
X;2007;1;15-34;71;99104
X;2007;1;35-44;71;44357
X;2007;1;45-54;71;44004
X;2007;1;55-64;71;41319
X;2007;1;65-74;71;22264
X;2007;1;75+;71;14371
X;2007;2;15-34;71;94084
X;2007;2;35-44;71;42587
X;2007;2;45-54;71;44099
X;2007;2;55-64;71;45526
X;2007;2;65-74;71;29472
X;2007;2;75+;71;27500
X;2007;1;15-34;72;90476
X;2007;1;35-44;72;41777
X;2007;1;45-54;72;41182
X;2007;1;55-64;72;36922
X;2007;1;65-74;72;21107
X;2007;1;75+;72;12962
X;2007;2;15-34;72;85805
X;2007;2;35-44;72;39935
X;2007;2;45-54;72;40803
X;2007;2;55-64;72;40773
X;2007;2;65-74;72;28612
X;2007;2;75+;72;25766
X;2007;1;15-34;80;191098
X;2007;1;35-44;80;92868
X;2007;1;45-54;80;87522
X;2007;1;55-64;80;78611
X;2007;1;65-74;80;44345
X;2007;1;75+;80;23567
X;2007;2;15-34;80;180964
X;2007;2;35-44;80;87032
X;2007;2;45-54;80;86534
X;2007;2;55-64;80;88873
X;2007;2;65-74;80;56608
X;2007;2;75+;80;49156
X;2008;1;15-34;10;190949
X;2008;1;35-44;10;89620
X;2008;1;45-54;10;76797
X;2008;1;55-64;10;83807
X;2008;1;65-74;10;43478
X;2008;1;75+;10;33175
X;2008;2;15-34;10;178741
X;2008;2;35-44;10;86181
X;2008;2;45-54;10;80865
X;2008;2;55-64;10;96668
X;2008;2;65-74;10;55862
X;2008;2;75+;10;60370
X;2008;1;15-34;20;183440
X;2008;1;35-44;20;90758
X;2008;1;45-54;20;80100
X;2008;1;55-64;20;83793
X;2008;1;65-74;20;42255
X;2008;1;75+;20;26981
X;2008;2;15-34;20;174798
X;2008;2;35-44;20;84952
X;2008;2;45-54;20;77923
X;2008;2;55-64;20;87386
X;2008;2;65-74;20;53405
X;2008;2;75+;20;50038
X;2008;1;15-34;31;94930
X;2008;1;35-44;31;45332
X;2008;1;45-54;31;44496
X;2008;1;55-64;31;43500
X;2008;1;65-74;31;22950
X;2008;1;75+;31;14702
X;2008;2;15-34;31;90279
X;2008;2;35-44;31;43533
X;2008;2;45-54;31;43064
X;2008;2;55-64;31;45054
X;2008;2;65-74;31;29058
X;2008;2;75+;31;26268
X;2008;1;15-34;32;84800
X;2008;1;35-44;32;40962
X;2008;1;45-54;32;38581
X;2008;1;55-64;32;39597
X;2008;1;65-74;32;21734
X;2008;1;75+;32;13428
X;2008;2;15-34;32;79891
X;2008;2;35-44;32;38363
X;2008;2;45-54;32;38108
X;2008;2;55-64;32;41376
X;2008;2;65-74;32;26460
X;2008;2;75+;32;23978
X;2008;1;15-34;41;46708
X;2008;1;35-44;41;22804
X;2008;1;45-54;41;21105
X;2008;1;55-64;41;20874
X;2008;1;65-74;41;10855
X;2008;1;75+;41;5841
X;2008;2;15-34;41;44971
X;2008;2;35-44;41;21751
X;2008;2;45-54;41;20856
X;2008;2;55-64;41;22627
X;2008;2;65-74;41;14106
X;2008;2;75+;41;10892
X;2008;1;15-34;42;128014
X;2008;1;35-44;42;61688
X;2008;1;45-54;42;54546
X;2008;1;55-64;42;58664
X;2008;1;65-74;42;28280
X;2008;1;75+;42;14793
X;2008;2;15-34;42;119623
X;2008;2;35-44;42;58421
X;2008;2;45-54;42;53821
X;2008;2;55-64;42;62709
X;2008;2;65-74;42;36109
X;2008;2;75+;42;30503
X;2008;1;15-34;51;66505
X;2008;1;35-44;51;31298
X;2008;1;45-54;51;27771
X;2008;1;55-64;51;31017
X;2008;1;65-74;51;14466
X;2008;1;75+;51;9006
X;2008;2;15-34;51;63233
X;2008;2;35-44;51;30330
X;2008;2;45-54;51;27987
X;2008;2;55-64;51;33373
X;2008;2;65-74;51;18678
X;2008;2;75+;51;17614
X;2008;1;15-34;52;82194
X;2008;1;35-44;52;39088
X;2008;1;45-54;52;36189
X;2008;1;55-64;52;38373
X;2008;1;65-74;52;20385
X;2008;1;75+;52;14002
X;2008;2;15-34;52;77244
X;2008;2;35-44;52;37275
X;2008;2;45-54;52;36377
X;2008;2;55-64;52;41864
X;2008;2;65-74;52;26034
X;2008;2;75+;52;25153
X;2008;1;15-34;53;78648
X;2008;1;35-44;53;36075
X;2008;1;45-54;53;34258
X;2008;1;55-64;53;34377
X;2008;1;65-74;53;18527
X;2008;1;75+;53;12294
X;2008;2;15-34;53;73244
X;2008;2;35-44;53;34488
X;2008;2;45-54;53;33938
X;2008;2;55-64;53;36513
X;2008;2;65-74;53;23851
X;2008;2;75+;53;22227
X;2008;1;15-34;63;79071
X;2008;1;35-44;63;37035
X;2008;1;45-54;63;35768
X;2008;1;55-64;63;33156
X;2008;1;65-74;63;18958
X;2008;1;75+;63;12267
X;2008;2;15-34;63;73462
X;2008;2;35-44;63;34734
X;2008;2;45-54;63;33797
X;2008;2;55-64;63;34636
X;2008;2;65-74;63;24053
X;2008;2;75+;63;22032
X;2008;1;15-34;64;173439
X;2008;1;35-44;64;82650
X;2008;1;45-54;64;76469
X;2008;1;55-64;64;74532
X;2008;1;65-74;64;41792
X;2008;1;75+;64;26821
X;2008;2;15-34;64;165112
X;2008;2;35-44;64;78004
X;2008;2;45-54;64;76410
X;2008;2;55-64;64;82344
X;2008;2;65-74;64;54363
X;2008;2;75+;64;52779
X;2008;1;15-34;71;97948
X;2008;1;35-44;71;45582
X;2008;1;45-54;71;43438
X;2008;1;55-64;71;42170
X;2008;1;65-74;71;22997
X;2008;1;75+;71;14735
X;2008;2;15-34;71;92802
X;2008;2;35-44;71;43375
X;2008;2;45-54;71;43335
X;2008;2;55-64;71;46260
X;2008;2;65-74;71;30146
X;2008;2;75+;71;27958
X;2008;1;15-34;72;89335
X;2008;1;35-44;72;42649
X;2008;1;45-54;72;40861
X;2008;1;55-64;72;37774
X;2008;1;65-74;72;21611
X;2008;1;75+;72;13413
X;2008;2;15-34;72;84609
X;2008;2;35-44;72;40539
X;2008;2;45-54;72;40364
X;2008;2;55-64;72;41539
X;2008;2;65-74;72;28945
X;2008;2;75+;72;26457
X;2008;1;15-34;80;188845
X;2008;1;35-44;80;94197
X;2008;1;45-54;80;87084
X;2008;1;55-64;80;80016
X;2008;1;65-74;80;45754
X;2008;1;75+;80;24292
X;2008;2;15-34;80;178336
X;2008;2;35-44;80;88019
X;2008;2;45-54;80;85523
X;2008;2;55-64;80;89828
X;2008;2;65-74;80;58520
X;2008;2;75+;80;49887
X;2009;1;15-34;10;192278
X;2009;1;35-44;10;94251
X;2009;1;45-54;10;77338
X;2009;1;55-64;10;83144
X;2009;1;65-74;10;46156
X;2009;1;75+;10;33336
X;2009;2;15-34;10;178977
X;2009;2;35-44;10;89331
X;2009;2;45-54;10;80340
X;2009;2;55-64;10;95786
X;2009;2;65-74;10;58812
X;2009;2;75+;10;60223
X;2009;1;15-34;20;183089
X;2009;1;35-44;20;95846
X;2009;1;45-54;20;80348
X;2009;1;55-64;20;85225
X;2009;1;65-74;20;44593
X;2009;1;75+;20;27500
X;2009;2;15-34;20;174279
X;2009;2;35-44;20;89264
X;2009;2;45-54;20;77832
X;2009;2;55-64;20;88912
X;2009;2;65-74;20;55515
X;2009;2;75+;20;50613
X;2009;1;15-34;31;93412
